Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
"Census Tract 62, Multnomah County, Oregon",2020,962,0,0,5,381,554,6,0,16
"Census Tract 63, Multnomah County, Oregon",2020,1515,11,13,43,435,506,178,181,148
"Census Tract 64.02, Multnomah County, Oregon",2020,2170,14,0,159,706,1203,34,54,0
"Census Tract 64.03, Multnomah County, Oregon",2020,857,0,9,46,492,310,0,0,0
"Census Tract 64.04, Multnomah County, Oregon",2020,1171,6,21,247,368,513,16,0,0
"Census Tract 65.01, Multnomah County, Oregon",2020,2124,16,0,29,1227,774,48,30,0
"Census Tract 65.02, Multnomah County, Oregon",2020,1472,0,0,420,521,505,11,0,15
"Census Tract 66.01, Multnomah County, Oregon",2020,955,0,0,31,336,573,8,7,0
"Census Tract 66.02, Multnomah County, Oregon",2020,1207,0,0,71,555,581,0,0,0
"Census Tract 67.01, Multnomah County, Oregon",2020,862,8,0,6,375,450,15,8,0
"Census Tract 67.02, Multnomah County, Oregon",2020,891,0,0,23,356,507,5,0,0
"Census Tract 68.01, Multnomah County, Oregon",2020,620,11,0,12,101,469,27,0,0
"Census Tract 68.02, Multnomah County, Oregon",2020,1096,0,0,9,172,854,40,9,12
"Census Tract 69, Multnomah County, Oregon",2020,1011,0,0,44,102,415,233,68,149
"Census Tract 70.01, Multnomah County, Oregon",2020,1763,0,0,0,489,1014,158,86,16
"Census Tract 70.02, Multnomah County, Oregon",2020,1150,0,0,18,57,676,206,90,103
"Census Tract 71, Multnomah County, Oregon",2020,846,12,11,59,177,444,129,9,5
"Census Tract 72.01, Multnomah County, Oregon",2020,901,139,111,186,332,124,9,0,0
"Census Tract 72.02, Multnomah County, Oregon",2020,766,96,43,65,417,136,9,0,0
"Census Tract 73, Multnomah County, Oregon",2020,75,0,5,15,29,26,0,0,0
"Census Tract 74, Multnomah County, Oregon",2020,609,46,18,106,263,174,0,0,2
"Census Tract 75, Multnomah County, Oregon",2020,1076,58,0,63,809,87,44,0,15
"Census Tract 76, Multnomah County, Oregon",2020,858,82,0,171,551,54,0,0,0
"Census Tract 77, Multnomah County, Oregon",2020,677,36,9,174,454,4,0,0,0
"Census Tract 78, Multnomah County, Oregon",2020,569,2,0,71,401,95,0,0,0
"Census Tract 79, Multnomah County, Oregon",2020,965,0,0,135,785,45,0,0,0
"Census Tract 80.01, Multnomah County, Oregon",2020,766,0,0,101,620,31,0,0,14
"Census Tract 80.02, Multnomah County, Oregon",2020,653,0,9,104,540,0,0,0,0
"Census Tract 81, Multnomah County, Oregon",2020,1126,16,0,191,919,0,0,0,0
